ID,Topic,Count,Name,Representation,Representative_Docs
23,22,2210,22_flughafen_raumfahrt_luftfahrt_weltraum,"['flughafen', 'raumfahrt', 'luftfahrt', 'weltraum', 'flughäfen', 'fliegen', 'airbus', 'space', 'luftverkehr', 'drohnen']","['europeanspaceagency stellen morgen Weichen Zukunft europäischen Raumfahrt besonders wichtig Raumfahrt spielt gerade Krisenzeiten besondere Rolle unabdingbar Nachhaltigkeit Souveränität Sicherheit Mehr Video germanaerospacecenter esa raumfahrt newspace weltraum', 'Heute bekannt geworden Flughafen Saarbrücken erhält Millionen Euro Bund Flughafen Saarbrücken einzige Flughafen Bundeslandes bedeutete normalen Zeiten Menge Arbeit Einsatz Kreativität Wirtschaftlichkeit Flughafens sicherzustellen Neben Flügen Berlin lebt Flughafen Urlaubern Sommerferien starten letztes Jahr kaum möglich steht Jahr wackeligen Beinen Planbar Flughafen Jahr Deshalb wichtig Saarbrücker Flughafen Unterstützung Bund erhält Einsatz Bundesminister Peter Altmaier verdanken besonderem Maße Flughafen engagiert finale Beschlussfassung erfolgt Ende Februar Haushaltsausschuss Deutschen Bundestages', 'Besuch ILA Berlin führend Bereichen Innovation neue Technologien Nachhaltigkeit konnte Menschen Bereich Raumfahrt sprechen Zentrale Themen Transformation zivilen Luftfahrt Klimaneutralität Nutzen Raumfahrt Leben Erde Bedeutung Streitkräfte Verteidigung unserer demokratischen Werte Europas Souveränität durfte paar Worte Stand paar Worte sagen Bereich Advanced Air Mobility luftfahrt raumfahrt messe berlin fliegen drohnen airbus brigkair']"
24,23,2170,23_tourismus_gastronomie_branche_tourismusbranche,"['tourismus', 'gastronomie', 'branche', 'tourismusbranche', 'agtourismus', 'tourismusausschuss', 'markt', 'cducsubt', 'reisen', 'tourismuswirtschaft']","['Funktion Koordinator Tourismus gehört Weiterentwicklung Nationalen Tourismusstrategie wichtigsten Projekten fokussieren vielen Kernbereiche Umweltschutz Arbeitskräftemangel Digitalisierung Wettbewerbsfähigkeit Gestern Auftaktveranstaltung Nationale Plattform Zukunft Tourismus wichtigen Meilenstein Arbeitsprozess erreicht Rahmen Plattform vier Arbeitsgruppen Akteure Tourismus vernetzen gemeinsam Ideen Lösungen entwickeln Tourismus Deutschland klimafreundlicher digitaler wettbewerbsfähiger gestalten sehen vielerorts beeindruckende innovative Projekte zukunftsfähigen Tourismus gibt Nationale Plattform Zukunft Tourismus aufgreifen bedanke Teilnehmerinnen Teilnehmern konstruktiven Gespräche vorgestellten Leuchtturmprojekte weiterhin gute Zusammenarbeit Arbeitsgruppen TeamBMWK klimaschutz', 'Nachhaltigen Tourismus zukunftsfähig gestalten Heute Woche durfte stellvertretende Vorsitzende Tourismussausschusses regelmäßige Sitzung leiten Wirtschaftsminister begrüßen Anlass Vorstellung Arbeitsprogramms Nationalen Tourismusstrategie federführend Ministerium erarbeitet Anschluss stand Minister Ausschussmitgliedern Rede Antwort verschiedenen offenen Fragen bisher Programm enthaltenen Maßnahmen setzen besonderen Fokus Förderung ökologischer sozialer Nachhaltigkeit Tourismus Sicherung Fachkräften Digitalisierung Branche Erhöhung Wettbewerbsfähigkeit Tourismus Deutschland zukunftsfähig brauchen neben Maßnahmen Bundes Mithilfe Ländern Vertreterinnen Vertretern Tourismuswirtschaft gemeinsame Aufgabe ab kommenden Jahr Nationale Plattform Zukunft Tourismus Verfügung stehen Tourismusausschuss wichtigen Prozess beobachten mitgestalten nachhaltigen zukunftsfähigen Tourismus Deutschland spdneuwerk tourismus tourism nachhaltigkeit spd ausschuss travel reise digitalisierung tourismusstrategie wirtschaft fachkräftemangel zukunftsfähig mönchengladbach rheydt sasserath volksgarten wickrath meerbusch rheindalen berlin politischearbeit', 'Heute findet Welttourismustag Motto Tourismus neu denken statt Welttourismustag setzt starkes Zeichen Bedeutung weltweiten Tourismus unterstützen Format gemeinsame Werte Tourismuspolitik kanalisieren internationales Verständnis Stärkung Tourismus schaffen internationale Tourismus fand Reisezeiträumen fast gar statt russische Krieg Ukraine schadet globalen Folgen Inflation Energiekrise ebenso Tourismuswirtschaft Sowohl gewerblichen Kosten Kosten Mobilität steigen Deswegen enorm wichtig Tourismus schnell Gang kommt Prozent Arbeitsplätze Prozent Dienstleistungsexporte trägt Tourismus globalen Wertschöpfung Gerade Schwellenländern Tourismus Wirtschaftsförderung sichert Ort viele Arbeitsplätze Infrastruktur Dienstleister trägt somit wirtschaftlichen Entwicklung Reisen steht Kennenlernen Region Menschen Kultur oftmals Programm schafft Toleranz trägt Weltoffenheit Völkerverständigung Gerade heutigen Zeiten hohes wichtiges Gut Bundestag spdbt unterstützen globalen Tourismus Bereich Entwicklungszusammenarbeit fördern weltweit mehr Projekte nachhaltige Entwicklung Tourismus Projekte unterstützten Klimawandel angepasste Tourismuskonzepte Transformation Zugleich Schutz Artenvielfalt Erhalt natürlicher Lebensgrundlagen berücksichtigt Erfolgreich umgesetzt Konzepte dabei gleichberechtigte politische soziale wirtschaftliche Teilhabe Frauen gewährleistet sowie Kinderrechte Kinderschutz beachtet Insgesamt investieren rund Millionen Euro']"
25,24,1904,24_draußen digitalen_digitalen orbit_musiktipp_musiktipp draußen,"['draußen digitalen', 'digitalen orbit', 'musiktipp', 'musiktipp draußen', 'orbit', 'draußen', 'guten morgen', 'bio schönen', 'link bio', 'bio']","['Guten Morgen Bordesholm Musiktipp draußen digitalen Orbit Sting Fragile Link Bio Schönen Dienstag', 'Guten Morgen Berlin Musiktipp draußen digitalen Orbit Stark Link Bio Schönen Donnerstag', 'Guten Morgen Bordesholm Musiktipp draußen digitalen Orbit Westernhagen Link Bio Schönen Donnerstag']"
26,25,1855,25_ernährung_gastronomie_mehrwertsteuer_lebensmittel,"['ernährung', 'gastronomie', 'mehrwertsteuer', 'lebensmittel', 'hunger', 'landwirtschaft', 'speisen', 'bürgerrat', 'lebensmittelverschwendung', 'fleischindustrie']","['Besuch Restaurant darf Luxus Prozent Speisen müssen bleiben erhalten Land lebenswert liebenswert macht Schon ächzen viele Gastronomen gestiegenen Personalkosten stehen Seite Gastronomen fordern deshalb Prozent Mehrwertsteuer Jahresende hinaus Restaurants Kneipen müssen wichtige Bestandteile gesellschaftlichen Lebens bleiben cducsubt Antrag dauerhafte Senkung Mehrwertsteuer Bundestag Abstimmung gestellt', 'Deutsche Bundestag stimmt heute Antrag ab reduzierten Mehrwertsteuersatz Speisen Gastronomie dauerhaft beizubehalten finden Besuch Restaurant darf Luxus Prozent Speisen müssen bleiben erhalten Land lebenswert liebenswert macht Schon ächzen viele Gastronomen gestiegenen Personalkosten stehen Seite Gastronomen fordern deshalb Prozent Mehrwertsteuer Jahresende hinaus Restaurants Kneipen müssen wichtige Bestandteile gesellschaftlichen Lebens bleiben cducsubt stellen deshalb heute Antrag dauerhafte Senkung Mehrwertsteuer Bundestag Abstimmung dehogasachsenanhalt', 'Besuch Restaurant darf Luxus sieben Prozent Speisen müssen bleiben erhalten Land lebenswert liebenswert macht Schon ächzen viele Gastronomen gestiegenen Personalkosten stehen Seite Gastronomen fordern deshalb sieben Prozent Mehrwertsteuer Jahresende hinaus Restaurants Kneipen müssen wichtige Bestandteile gesellschaftlichen Lebens bleiben Daher heute Antrag dauerhafte Senkung Mehrwertsteuer Bundestag Abstimmung gestellt Ampel Antrag abgelehnt ignoriert Hilferufe Gastronomie erneut gastronomie mehrwertsteuer bundestag']"
27,26,1742,26_bienen_wolf_tierschutz_tiere,"['bienen', 'wolf', 'tierschutz', 'tiere', 'moore', 'landwirtschaft', 'insekten', 'artenvielfalt', 'artenschutz', 'schutz']","['Schützen erhält Heute startet Weltnaturschutzkonferenz CBD COP Montreal Mitgliedstaaten Vereinten Nationen verhandeln globales Rahmenabkommen Schutz weltweiten biologischen Vielfalt Warum wichtig Neben Erderhitzung globale Verlust Arten Lebensräume zweite große ökologische Krise unserer Zeit Dabei liefert Natur biologischen Vielfalt Lebensgrundlage Wohlstand Menschen Beispiel Schmetterling Cem symbolisch Hand hält Heute gibt zwei Drittel weniger Tagfalter Jahren Schuld daran intensive Landwirtschaft Monokulturen Erhalt herrlichen Tiere Selbstzweck Bestäubung unserer Nutzpflanzen somit Nahrungsmittelproduktion essentiell müssen handeln Bundesregierung Montreal wichtige Vorbildrolle Industrieländer einnehmen Ab stehen Milliarden Euro jährlich internationalen Biodiversitätsschutz bereit Aktionsprogramm Natürlicher Klimaschutz gibt nationaler Ebene umfangreiches Paket vier Milliarden Euro ausgestattet theländ grünepolitik grünebw grünekarlsruhe grünejugend karlsruhe karlsruhecity karlsruhelove bundestag naturschutz umweltschutz', 'Bee nice leidenschaftlicher Hobbyimker weiß erster Hand wichtig Lebensbedingungen Bienen verbessern vielfältigen Bedrohungen schützen Lasst gemeinsam daran arbeiten lebenswerte Umwelt zukünftigen Generationen erhalten dabei fleißigen Bienen unverzichtbare Partner unserer Seite unterstützen Heute Weltbienentag Grund mehr mal Fakten kleinen Freunde nennen Bestäubung Bienen Hauptakteure Bestäubung Blütenpflanzen Etwa Nutzpflanzen weltweit angebaut Bestäubung Tiere angewiesen wobei Bienen wichtigsten Gruppen Biodiversität Bienen tragen Erhaltung Biodiversität Bestäubung wilden Pflanzen beitragen Viele Ökosysteme hängen Bestäubung ab Vielfalt Pflanzenarten aufrechtzuerhalten wiederum Lebensräume Nahrung Tiere bieten Nahrungsmittelversorgung Bestäubung Bienen spielt entscheidende Rolle Nahrungsmittelversorgung Obst Gemüse viele Nutzpflanzen tierische Produkte Bestäubung Bienen angewiesen merkt Bienen unverzichtbar Bestäubung Pflanzen Erhaltung biologischen Vielfalt Landwirtschaft Ernährungssicherheit großer Bedeutung leidenschaftlicher Hobbyimker weiß erster Hand wichtig Lebensbedingungen Bienen verbessern vielfältigen Bedrohungen schützen Lasst gemeinsam daran arbeiten lebenswerte Umwelt zukünftigen Generationen erhalten dabei fleißigen Bienen unverzichtbare Partner unserer Seite unterstützen fdpbt worldbeeday lebenretten bienen', 'Schützen erhält Weltnaturschutzkonferenz CBD COP Dezember Montreal stattfinden verhandeln Mitgliedstaaten Vereinten Nationen globales Rahmenabkommen Schutz weltweiten biologischen Vielfalt globale Verlust Arten Lebensräume neben Erderhitzung zweite große ökologische Krise unserer Zeit Dabei liefert Natur biologischen Vielfalt Lebensgrundlage Wohlstand Menschen Produktion hochwertigen Lebensmitteln Baustoffe Arzneimitteln sensible Netz angewiesen Montreal kommt darauf ambitioniertes Rahmenwerk verabschieden sollen Prozent Meeresfläche besonderen Schutz stehen jedoch ambitionierten Finanzierungszusagen Einbindung indigener lokaler Bevölkerung umsetzbar Bundesregierung Montreal wichtige Vorbildrolle Industrieländer einnehmen Ab stehen Milliarden Euro jährlich internationalen Biodiversitätsschutz bereit Aktionsprogramm Natürlicher Klimaschutz gibt nationaler Ebene umfangreiches Paket vier Milliarden Euro ausgestattet wissen wollt Bildchen Klein großer Wirkung Waldameise spielt Waldökosystemen wichtige Rolle frisst Borkenkäfer dient Vögeln größeren Insekten Nahrungsgrundlage Tote Insekten verfüttern Ameisen direkt Nachkommen Ameisen halten Wald gesund großen Bauten durchlüften zudem Waldböden verbreiten Samen Bäumen Sträuchern Pflanzen Biodiversität vielfalt naturschutz']"
28,27,1711,27_bürgersprechstunde_uhr_sprechstunde_per,"['bürgersprechstunde', 'uhr', 'sprechstunde', 'per', 'fragen', 'freue', 'telefonsprechstunde', 'anmeldung', 'telefonisch', 'bitte']","['Bürgernähe wichtiges Thema gerade schwierigen Zeiten Bürger innen Kreis Coesfeld Soest Möglichkeit Austausches geben lade immer ersten Samstag Monat herzlich themenoffenen telefonischen Bürger innensprechstunde Bürger innensprechstunde findet ersten Samstag Monats statt Uhr Tel vorherige Anmeldung freue Anrufe Anregungen Feedback gruenesteinfurt diegruenelh', 'Bürgernähe wichtiges Thema gerade schwierigen Zeiten Bürger innen Kreis Coesfeld Unna Hamm Möglichkeit Austausches geben lade immer ersten Samstag Monat herzlich themenoffenen telefonischen Bürger innensprechstunde nächste Bürger innensprechstunde findet statt Samstag Uhr Tel vorherige Anmeldung notwendig', 'Bürgernähe wichtiges Thema gerade schwierigen Zeiten Bürger innen Kreis Coesfeld Soest Möglichkeit Austausches geben lade immer ersten Samstag Monat herzlich themenoffenen telefonischen Bürger innensprechstunde Bürger innensprechstunde findet ersten Samstag Monats statt Uhr Tel vorherige Anmeldung notwendig Coesfeld Soest Bundestag Sprechstunde']"
29,28,1653,28_behinderung_behinderungen_menschen behinderungen_inklusion,"['behinderung', 'behinderungen', 'menschen behinderungen', 'inklusion', 'menschen', 'menschen behinderung', 'teilhabe', 'einsamkeit', 'barrierefreiheit', 'senioren']","['Menschen Behinderungen sollen selbstbestimmt Mitte unserer Gesellschaft leben Diskriminierungen Art immer Ziel heutigen Internationalen Tag Menschen Behinderung erinnert Menschen Behinderung gehören Bevölkerungsgruppen Corona besonders leiden Gerade gilt Menschen Behinderungen besonders schützen dürfen Außenwelt isoliert Armut abrutschen immer Menschen Behinderungen erhöhtes Armutsrisiko Pandemie Gefahr angestiegen Deutschland Krise beeinträchtigte Menschen getan etwa Verbesserung Ausrüstung Pflegeeinrichtungen finanzielle Entlastung Werkstätten Menschen Behinderungen müssen anstrengen Gleichberechtigung erreichen gilt besonders Barrierefreiheit Deshalb europäische Barrierefreiheitsrichtlinie EAA schnellstmöglich nationales Recht umwandeln Herausforderungen besser angehen braucht zusätzlich koordinierendes Element europäischer Ebene fordert deshalb Einrichtung Beauftragten Menschen Behinderungen sichergestellt Belange Menschen Behinderungen Ebenen vertreten hilft Menschen Deutschland gesamten Europäischen Union welttagdermenschenmitbehinderung selbstbestimmtlebenundarbeiten spdlandesgruppebayern spdbundestagsfraktion sabinedittmar', 'Heute Internationale Tag Menschen Behinderung Tag widmen Belangen Problemen Menschen Behinderungen Ausgerufen wurde Tag Vereinten Nationen darauf aufmerksam Menschen Behinderungen unserer Gesellschaft oft benachteiligt Deutschland Bereichen inklusives barrierefreies Land Bus Bahn Arbeit Wohnen Gesundheit digitalen Welt Dafür Koalitionsvertrag Einführung Bundesprogramms Barrierefreiheit geeinigt Arbeitgeber Menschen Behinderungen einstellen zahlen höhere Ausgleichsabgabe erhöhen Mittel Ausbildung Beschäftigung Menschen Behinderungen fördern Ziel Menschen Behinderungen selbstbestimmtes Leben führen Außerdem Aufklärung wichtig letzen Jahren immer Betroffenen gesprochen Gespräche natürlich weiterführen aktuellen Probleme aufzunehmen darüber aufklären tagdermenschenmitbehinderung michaelthews spd spdde spdbt hamm selm lünen werne Behinderung MehrFortschrittWagen ampel barrierefrei barrierefreiheit selbstbestimmt', 'Heute internationaler Tag Menschen Behinderung nächste Generation tägliche Miteinander Menschen Behinderungen selbstverständlich menschliche Gesellschaft inklusive Gesellschaft heute morgen erreichen Inklusion beginnt Köpfen allein per Gesetz verordnet Gesetzen bessere Voraussetzungen Inklusion inklusiven Gesellschaft ebnen zahlreichen Maßnahmen vergangenen Wahlperiode getan weitergehen Darum Umsetzung voranbringen Menschen Behinderungen sollen Zugang bestmöglicher Bildung existenzsichernder Erwerbsarbeit ungehinderter Teilhabe politischen kulturellen gesellschaftlichen Leben Dafür kommenden Bundesregierung vieles anpacken Arbeitsmarktintegration Menschen Behinderung verbessern Hierzu entsprechenden Ansprechstellen Arbeitgeber innen ausgebaut Ausgleichsabgaben Beschäftigungspflicht Menschen Behinderung erweitern Arbeit Werkstätten darauf ausrichten möglichst viele Menschen regulären Arbeitsmarkt integrieren Medizinischen Behandlungszentren Erwachsene geistiger Behinderung schweren Mehrfachbehinderungen sowie Sozialpädiatrischen Zentren bauen Bundesländern Pflegeeltern Kindern Behinderungen besonders unterstützen Bekämpfung Gewalt Frauen Bedarfe Frauen Behinderung genauer berücksichtigt Vermögensrechte Menschen Behinderung stärken Anträge Pflegegeld Schwerbehindertenausweisen Leistungen einfacher unbürokratischer gestaltet mehr Teilhabe politische Partizipation Menschen Behinderungen wichtigen Vorhaben Bundesebene sorgen spd ulrikebahr purplelightup inklusion']"
30,29,1523,29_instagram_facebook_live_fragen,"['instagram', 'facebook', 'live', 'fragen', 'inhalte', 'dirkwiese', 'whatsapp', 'politische inhalte', 'sprechstunde', 'live facebook']","['Morgen Live Facebook Fragen beantworten immer gilt Fragen schon Kommentare gepostet per PN geschickt morgen facebook sprechstunde sauerland hochsauerland hochsauerlandkreis hsk spd nrwspd dirkwiese corona arnsberg sundern eslohe schmallenberg meschede bestwig olsberg brilon marsberg winterberg hallenberg medebach dirkwiese fragen picoftheday sonntag politik sunday talk holidays picoftheday', 'Morgen Live Facebook Fragen beantworten immer gilt Fragen schon Kommentare gepostet per PN geschickt morgen facebook sprechstunde sauerland hochsauerland hochsauerlandkreis hsk spd nrwspd dirkwiese corona arnsberg sundern eslohe schmallenberg meschede bestwig olsberg brilon marsberg winterberg hallenberg medebach dirkwiese fragen picoftheday sonntag politik sunday talk holidays picoftheday', 'Morgen Live Facebook Fragen beantworten immer gilt Fragen schon Kommentare gepostet per PN geschickt morgen facebook sprechstunde chat sauerland hochsauerland hochsauerlandkreis hsk spd nrwspd dirkwiese corona arnsberg sundern eslohe schmallenberg meschede bestwig olsberg brilon marsberg winterberg hallenberg medebach dirkwiese fragen picoftheday sonntag politik sunday']"
31,30,1471,30_iran_menschenrechte_regime_the,"['iran', 'menschenrechte', 'regime', 'the', 'iranischen', 'of', 'iranrevolution', 'iranische', 'gefangenen', 'jinjiyanazadi']","['Seit Wochen geht Regierung Islamischen Republik Iran brutaler Gewalt friedliche Revolution eigenen Bevölkerung Regime willkürlichem Terror eigene Bevölkerung verteidigt jegliche Legitimation verloren Bundestag setze Freilassung politischen Gefangenen Unterstützung iranischen Zivilbevölkerung schärfere personenbezogene Sanktionen Regime Listung Revolutionswächterarmee IR Terrororganisation Schutz Menschen iranischen Wurzeln Deutschland For weeks the regime of the Islamic Republic of Iran has been brutally cracking down the peaceful revolution of its own people A regime that turns against its own people with arbitrary terror has lost any legitimacy German Bundestag I urgently call for The release of all political prisoners Support of Iranian civil society Sanctions against individuals of the Iranian regime The listing of the Islamic Revolutionary Guard Corps IRGC as a terrorist organization Protection for people of Iranian descent Germany iranrevolution freeiran stopexecutionsiniran zanzendegiazadi jinjiyanazadi', 'Seit Wochen geht Regierung Islamischen Republik Iran brutaler Gewalt friedliche Revolution eigenen Bevölkerung Regime willkürlichem Terror eigene Bevölkerung verteidigt jegliche Legitimation verloren Bundestag setzen Freilassung politischen Gefangenen Unterstützung iranischen Zivilbevölkerung schärfere personenbezogene Sanktionen Regime Listung Revolutionswächterarmee IR Terrororganisation Schutz Menschen iranischen Wurzeln Deutschland For weeks the regime of the Islamic Republic of Iran has been brutally cracking down the peaceful revolution of its own people A regime that turns against its own people with arbitrary terror has lost any legitimacy German Bundestag we urgently call for The release of all political prisoners Support of Iranian civil society Sanctions against individuals of the Iranian regime The listing of the Islamic Revolutionary Guard Corps IRGC as a terrorist organization Protection for people of Iranian descent Germany iranrevolution freeiran stopexecutionsiniran zanzendegiazadi jinjiyanazadi iran iranprotests SPD', 'Seit Wochen geht Regierung Islamischen Republik Iran brutaler Gewalt friedliche Revolution eigenen Bevölkerung Regime willkürlichem Terror eigene Bevölkerung verteidigt jegliche Legitimation verloren Bundestag setze Freilassung politischen Gefangenen Unterstützung iranischen Zivilbevölkerung schärfere personenbezogene Sanktionen Regime Listung Revolutionswächterarmee IR Terrororganisation Schutz Menschen iranischen Wurzeln Deutschland For weeks the regime of the Islamic Republic of Iran has been brutally cracking down the peaceful revolution of its own people A regime that turns against its own people with arbitrary terror has lost any legitimacy German Bundestag I urgently call for The release of all political prisoners Support of Iranian civil society Sanctions against individuals of the Iranian regime The listing of the Islamic Revolutionary Guard Corps IRGC as a terrorist organization Protection for people of Iranian descent Germany iranrevolution freeiran stopexecutionsiniran zanzendegiazadi jinjiyanazadi iran fraulebenfreiheit']"
32,31,1408,31_fahrrad_rad_radfahren_radverkehr,"['fahrrad', 'rad', 'radfahren', 'radverkehr', 'fahrradtour', 'bike', 'fahrradfahren', 'verkehrswende', 'mobilität', 'fahrräder']","['letzten vier Jahren Deutsche Bundestag Rekordsumme Milliarde Euro Förderung Radverkehrs investiert historischer Meilenstein kommende Jahr trotz umfassenden Sparauflagen zusätzliche Mittel Radverkehr Bundeshaushalt vorgesehen Erfolge maßgeblich engagierten Einsatz Parlamentskreises Fahrrad verdanken seit Jahren überfraktionell Interessen Radfahrerinnen Radfahrer starkmacht Radverkehr Deutschen Bundestag hohen Stellenwert betonte Bundestagspräsidentin Bärbel Bas Eröffnungsrede Parlamentarischen Radtour gab Deutschland genauso viele Fahrräder Einwohner ganze Millionen Prozent Menschen Deutschland nutzen Fahrrad politische Aufgabe Radverkehr fördern sagte Parlamentspräsidentin vielen guten Nachrichten konnten Regenschauer gute Laune rund Teilnehmerinnen Teilnehmer Parlament Fraktionen Verwaltung Deutschen Bundestages verderben Motto Best of Radverkehr machten ADFC konzipierte Strecke führte neuen Verkehrsmaßnahmen Fahrradstraßen geschützten Radwegen Schulstraßen vorbei sodass positiven Veränderungen Radfahrerinnen Radfahrer Stadtbild buchstäblich direkt erfahren konnten Mitgliedsunternehmen ZIV Fahrräder Verfügung gestellt Teilnehmenden ausleihen konnten eineinhalb Stunden knapp Kilometern endete parlamentarische Radtour Landesvertretung Bremen Senatorin Bau Mobilität Stadtentwicklung Freien Hansestadt Özlem Ünsal fahrradbegeisterten Gäste erwartete rundum gelungener Tag Radverkehr ParlamentarischeRadtour Fahrrad Radtour Bundestag Radverkehr Fahrradtour Berlin rad radfahren FahrradLiebe fahrradfahren', 'Fahrrad wichtiger Teil Verkehrswende bringt viele Vorteile Städten denen Strecken fünf Kilometern liegen Fahrrad einfach schnellste umweltfreundlichste Fortbewegungsmittel Wer Rad Arbeit Uni fährt tut eigene Gesundheit hilft Klima schützen sieht fahrradpolitische Sprecher gemeinsam Fahrradstation Mönchengladbach besuchte Zusammen sprachen fahrradfreundlicheres Mönchengladbach darüber Fahrradfahren ganz Deutschland attraktiver gemacht Auto Hauptbahnhof Mönchengladbach Rheydt bieten Radstationen sichere Parkplätze rund Fahrräder rund Uhr geöffnet Chipkarte schützen Räder Diebstahl schlechtem Wetter Außerdem Fahrräder ausgeliehen kleine Reparaturen Reifen aufpumpen defekte Lichter beheben Radfahren mehr Menschen einfacher trägt nachhaltigen Verkehrswende Verkehrswende Fahrrad Nachhaltigkeit Radverkehr Ebike lastenrad', 'neues Fahrrad']"
33,32,1396,32_cannabis_legalisierung_legalisierung cannabis_jugendschutz,"['cannabis', 'legalisierung', 'legalisierung cannabis', 'jugendschutz', 'schwarzmarkt', 'konsum', 'drogenpolitik', 'cannabisgesetz', 'cannabislegalisierung', 'eigenanbau']","['entkriminalisieren Konsum Cannabis Erwachsene bisherige Verbotspolitik klar gescheitert Aktuell steigt Konsum gerade Jugendlichen stark verunreinigten Substanzen Schwarzmarkt müssen ändern ganzen Vorhaben steht Gesundheitsschutz Fokus künftig Konsumierende erlaubt ermöglichen Eigenanbau Erwachsene drei weiblichen Pflanzen Begrenzung drei Pflanzen verhindert neu entstehende Eigenplantagenwirtschaft Eigenanbau Cannabis kontrolliert schadstofffrei gewonnen Konsument innen Lage versetzt gefährliches verunreinigtes Cannabis vermeiden Schwarzmarkt entziehen Kindern Jugendlichen schützen Erwerbsverbot Jugendliche Konsumverbot Anwesenheit Minderjährigen Konsumverbotszonen Sichtweite m Schulen Kitas Spielplätze Sportplätze Jugendeinrichtungen Hohe Strafandrohung Verkauf Überlassung Cannabis Kinder Jugendliche Sponsoringverbot sowohl Cannabis Anbauvereinigungen Eigenanbau Sicherung Zugriff Dritter Kinder Jugendlicher Ausbau Prävention erstmals effektiver Jugendschutz Informationskampagne Risiken Cannabiskonsums parallel Gesetzgebung Bereits Jahr Evaluation Konsumverbote insbesondere Schutzzonen Schulen Jugendeinrichtungen insbesondere Auswirkungen Konsumverhalten Kindern Jugendlichen Aufschluss gegeben', 'Heute kommt Entwurf Cannabisgesetz Bundestag künftig erlaubt Privater Eigenanbau Cannabis Erwachsene Eigenkonsum sowie gemeinschaftlicher gewerblicher Eigenanbau Cannabis Anbauvereinigungen Cannabis Social Clubs Übergeordnet stehen drei Dinge Mittelpunkt Gesundheitsschutz Jugendschutz Bekämpfung Schwarzmarkts Cannabis Schwarzmarkt schwer gesundheitsschädlich staatlich kontrolliert angebautes Cannabis Gesundheitsrisiken drastisch senken gleichzeitig sowie Präventionsprojekte investieren Droge Wirkungen verantwortungsvollen Konsum aufklären Außerdem Aufklärungsarbeit junge Menschen intensiv fördern Konsum verhindern aufgebaute Drohkulisse innen läuft ziemlich Leere Übrigens Abgabe Cannabis verboten Warum Gesetz unbedingt nötig r Dritte Deutschland bereits Cannabis konsumiert Droge illegal müssen daher Konsum Risiken auseinandersetzen Verbote Kriminalisierung Drogenkonsum gesenkt Verbote verhindern effektive Suchtprävention Jugendschutz binden unnötig Ressourcen Justiz Polizei braucht Wandel offensichtlich funktionierenden Drogenpolitik Deshalb neuen Umgang Cannabis Aufklärung Prävention stärken Menschen nachhaltig schützen Abonniert Kanal Infos rundum Cannabisgesetz verpassen Detailarbeit Gesetz geht Abgeordneten richtig los', 'künftig erlaubt Privater Eigenanbau Cannabis Erwachsene Eigenkonsum sowie gemeinschaftlicher gewerblicher Eigenanbau Cannabis Anbauvereinigungen Cannabis Social Clubs Übergeordnet stehen drei Dinge Mittelpunkt Gesundheitsschutz Jugendschutz Bekämpfung Schwarzmarkts Cannabis Schwarzmarkt schwer gesundheitsschädlich staatlich kontrolliert angebautes Cannabis Gesundheitsrisiken drastisch senken gleichzeitig sowie Präventionsprojekte investieren Droge Wirkungen verantwortungsvollen Konsum aufklären Außerdem Aufklärungsarbeit junge Menschen intensiv fördern Konsum verhindern aufgebaute Drohkulisse innen läuft ziemlich Leere Übrigens Abgabe Cannabis verboten Warum Gesetz unbedingt nötig r Dritte Deutschland bereits Cannabis konsumiert Droge illegal müssen daher Konsum Risiken auseinandersetzen Verbote Kriminalisierung Drogenkonsum gesenkt Verbote verhindern effektive Suchtprävention Jugendschutz binden unnötig Ressourcen Justiz Polizei braucht Wandel offensichtlich funktionierenden Drogenpolitik Deshalb neuen Umgang Cannabis Aufklärung Prävention stärken Menschen nachhaltig schützen cannabis ziehdurch leaglizeit spd spdbt augsburg augsburgstadt augsburgliebe']"
