,topic,Count
94,4_rassismus_menschen_opfer_gedenken,9095
83,3_ukraine_belarus_türkei_bundeswehr,8718
61,1_euro_feuerwehr_mehr_ehrenamt,7865
72,2_spd_cdu_bundestag_demokratie,6930
12,10_euro_bürgergeld_rente_prozent,4678
127,7_europa_eu_europäischen_migration,4105
138,8_wasserstoff_klimaschutz_energien_erneuerbaren,3937
105,5_pflege_impfpflicht_versorgung_gesundheit,3881
1,0_berlin_bundestag_usa_heute,3684
149,9_frauen_gewalt_gewalt frauen_mädchen,3381
