,topic,Count
1,0_berlin_bundestag_usa_heute,25420
61,1_euro_feuerwehr_mehr_ehrenamt,14111
72,2_spd_cdu_bundestag_demokratie,11328
83,3_ukraine_belarus_türkei_bundeswehr,7834
138,8_wasserstoff_klimaschutz_energien_erneuerbaren,7491
94,4_rassismus_menschen_opfer_gedenken,7214
127,7_europa_eu_europäischen_migration,7075
105,5_pflege_impfpflicht_versorgung_gesundheit,6493
12,10_euro_bürgergeld_rente_prozent,5785
59,18_haushalt_sitzungswoche_woche_bundestag,5498
