,topic,Count
1,0_berlin_bundestag_usa_heute,55100
72,2_spd_cdu_bundestag_demokratie,23305
61,1_euro_feuerwehr_mehr_ehrenamt,18874
116,6_jahr_wünsche_weihnachten_advent,11926
127,7_europa_eu_europäischen_migration,6931
69,27_bürgersprechstunde_uhr_sprechstunde_per,5996
83,3_ukraine_belarus_türkei_bundeswehr,5237
94,4_rassismus_menschen_opfer_gedenken,5117
105,5_pflege_impfpflicht_versorgung_gesundheit,5045
138,8_wasserstoff_klimaschutz_energien_erneuerbaren,5042
