,topic,Count
1,0_berlin_bundestag_usa_heute,208
36,2_spd_cdu_bundestag_demokratie,118
27,1_euro_feuerwehr_mehr_ehrenamt,110
73,6_jahr_wünsche_weihnachten_advent,71
12,11_danke_ostern_moin_wochenende,54
80,7_europa_eu_europäischen_migration,42
18,13_digitalisierung_digitale_ki_digitalen,37
57,4_rassismus_menschen_opfer_gedenken,36
87,8_wasserstoff_klimaschutz_energien_erneuerbaren,30
24,17_https_https https_newsletter_quelle,24
