,topic,Count
38,1_euro_feuerwehr_mehr_ehrenamt,192
1,0_berlin_bundestag_usa_heute,130
35,17_https_https https_newsletter_quelle,119
49,2_spd_cdu_bundestag_demokratie,111
105,8_wasserstoff_klimaschutz_energien_erneuerbaren,110
9,10_euro_bürgergeld_rente_prozent,98
27,13_digitalisierung_digitale_ki_digitalen,66
97,7_europa_eu_europäischen_migration,61
81,5_pflege_impfpflicht_versorgung_gesundheit,57
70,4_rassismus_menschen_opfer_gedenken,54
