,topic,Count
1,0_berlin_bundestag_usa_heute,8729
60,1_euro_feuerwehr_mehr_ehrenamt,5277
137,8_wasserstoff_klimaschutz_energien_erneuerbaren,5156
93,4_rassismus_menschen_opfer_gedenken,4619
82,3_ukraine_belarus_türkei_bundeswehr,4358
71,2_spd_cdu_bundestag_demokratie,3721
91,48_grüne_grünen_grün_grüne jugend,3698
126,7_europa_eu_europäischen_migration,2756
148,9_frauen_gewalt_gewalt frauen_mädchen,2389
34,12_kinder_kindern_schulen_familien,1716
