,topic,Count
0,0_berlin_bundestag_usa_heute,4721
66,2_spd_cdu_bundestag_demokratie,2127
55,1_euro_feuerwehr_mehr_ehrenamt,1789
110,6_jahr_wünsche_weihnachten_advent,1085
41,13_digitalisierung_digitale_ki_digitalen,1002
90,51_fdp_fdp fdp_afd_jetztfdp,1000
121,7_europa_eu_europäischen_migration,878
77,3_ukraine_belarus_türkei_bundeswehr,844
132,8_wasserstoff_klimaschutz_energien_erneuerbaren,645
11,10_euro_bürgergeld_rente_prozent,640
