,topic,Count
59,3_ukraine_belarus_türkei_bundeswehr,900
38,1_euro_feuerwehr_mehr_ehrenamt,833
70,4_rassismus_menschen_opfer_gedenken,786
6,10_euro_bürgergeld_rente_prozent,509
81,5_pflege_impfpflicht_versorgung_gesundheit,365
48,2_spd_cdu_bundestag_demokratie,346
101,7_europa_eu_europäischen_migration,323
119,9_frauen_gewalt_gewalt frauen_mädchen,308
20,12_kinder_kindern_schulen_familien,305
39,20_israel_hamas_mali_geiseln,289
