,topic,Count
1,0_berlin_bundestag_usa_heute,3510
65,2_spd_cdu_bundestag_demokratie,1517
51,17_https_https https_newsletter_quelle,1326
89,51_fdp_fdp fdp_afd_jetztfdp,615
20,11_danke_ostern_moin_wochenende,563
62,27_bürgersprechstunde_uhr_sprechstunde_per,508
76,3_ukraine_belarus_türkei_bundeswehr,502
120,7_europa_eu_europäischen_migration,500
87,4_rassismus_menschen_opfer_gedenken,462
98,5_pflege_impfpflicht_versorgung_gesundheit,429
