,topic,Count
1,0_berlin_bundestag_usa_heute,2263
54,1_euro_feuerwehr_mehr_ehrenamt,1760
65,2_spd_cdu_bundestag_demokratie,1487
87,4_rassismus_menschen_opfer_gedenken,1467
11,10_euro_bürgergeld_rente_prozent,932
50,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,754
76,3_ukraine_belarus_türkei_bundeswehr,695
98,5_pflege_impfpflicht_versorgung_gesundheit,637
31,12_kinder_kindern_schulen_familien,572
120,7_europa_eu_europäischen_migration,404
