,topic,Count
20,2_spd_cdu_bundestag_demokratie,74
0,0_berlin_bundestag_usa_heute,67
26,3_ukraine_belarus_türkei_bundeswehr,42
12,1_euro_feuerwehr_mehr_ehrenamt,29
43,6_jahr_wünsche_weihnachten_advent,25
9,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,24
48,7_europa_eu_europäischen_migration,19
2,10_euro_bürgergeld_rente_prozent,18
32,4_rassismus_menschen_opfer_gedenken,17
17,27_bürgersprechstunde_uhr_sprechstunde_per,16
