,topic,Count
1,0_berlin_bundestag_usa_heute,5476
50,1_euro_feuerwehr_mehr_ehrenamt,2325
81,48_grüne_grünen_grün_grüne jugend,2244
61,2_spd_cdu_bundestag_demokratie,1944
127,8_wasserstoff_klimaschutz_energien_erneuerbaren,1905
83,4_rassismus_menschen_opfer_gedenken,1192
116,7_europa_eu_europäischen_migration,1145
105,6_jahr_wünsche_weihnachten_advent,1011
72,3_ukraine_belarus_türkei_bundeswehr,854
58,27_bürgersprechstunde_uhr_sprechstunde_per,850
