,topic,Count
1,0_berlin_bundestag_usa_heute,2143
58,1_euro_feuerwehr_mehr_ehrenamt,1811
80,3_ukraine_belarus_türkei_bundeswehr,1167
124,7_europa_eu_europäischen_migration,1144
11,10_euro_bürgergeld_rente_prozent,1076
69,2_spd_cdu_bundestag_demokratie,1032
93,51_fdp_fdp fdp_afd_jetztfdp,997
42,13_digitalisierung_digitale_ki_digitalen,978
134,8_wasserstoff_klimaschutz_energien_erneuerbaren,909
56,18_haushalt_sitzungswoche_woche_bundestag,878
