,topic,Count
1,0_berlin_bundestag_usa_heute,2809
137,8_wasserstoff_klimaschutz_energien_erneuerbaren,2326
60,1_euro_feuerwehr_mehr_ehrenamt,1987
82,3_ukraine_belarus_türkei_bundeswehr,1594
93,4_rassismus_menschen_opfer_gedenken,1466
91,48_grüne_grünen_grün_grüne jugend,1211
126,7_europa_eu_europäischen_migration,1049
71,2_spd_cdu_bundestag_demokratie,1011
148,9_frauen_gewalt_gewalt frauen_mädchen,808
104,5_pflege_impfpflicht_versorgung_gesundheit,717
