,topic,Count
43,1_euro_feuerwehr_mehr_ehrenamt,513
1,0_berlin_bundestag_usa_heute,392
54,2_spd_cdu_bundestag_demokratie,334
40,17_https_https https_newsletter_quelle,330
116,8_wasserstoff_klimaschutz_energien_erneuerbaren,286
10,10_euro_bürgergeld_rente_prozent,217
107,7_europa_eu_europäischen_migration,203
76,4_rassismus_menschen_opfer_gedenken,183
87,5_pflege_impfpflicht_versorgung_gesundheit,148
31,13_digitalisierung_digitale_ki_digitalen,134
