,topic,Count
63,2_spd_cdu_bundestag_demokratie,2039
85,4_rassismus_menschen_opfer_gedenken,1327
49,17_https_https https_newsletter_quelle,1113
74,3_ukraine_belarus_türkei_bundeswehr,1047
1,0_berlin_bundestag_usa_heute,1036
116,7_europa_eu_europäischen_migration,1013
52,1_euro_feuerwehr_mehr_ehrenamt,889
11,10_euro_bürgergeld_rente_prozent,852
96,5_pflege_impfpflicht_versorgung_gesundheit,744
126,8_wasserstoff_klimaschutz_energien_erneuerbaren,619
