,topic,Count
36,3_ukraine_belarus_türkei_bundeswehr,161
30,2_spd_cdu_bundestag_demokratie,65
4,10_euro_bürgergeld_rente_prozent,63
1,0_berlin_bundestag_usa_heute,37
20,1_euro_feuerwehr_mehr_ehrenamt,34
58,7_europa_eu_europäischen_migration,29
16,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,28
50,64_assange_julian assange_julian_auslieferung,21
41,4_rassismus_menschen_opfer_gedenken,18
49,5_pflege_impfpflicht_versorgung_gesundheit,16
