,topic,Count
29,1_euro_feuerwehr_mehr_ehrenamt,211
26,17_https_https https_newsletter_quelle,187
79,8_wasserstoff_klimaschutz_energien_erneuerbaren,146
7,10_euro_bürgergeld_rente_prozent,105
40,2_spd_cdu_bundestag_demokratie,105
76,7_europa_eu_europäischen_migration,100
56,4_rassismus_menschen_opfer_gedenken,93
50,3_ukraine_belarus_türkei_bundeswehr,87
65,5_pflege_impfpflicht_versorgung_gesundheit,80
1,0_berlin_bundestag_usa_heute,54
