,topic,Count
1,0_berlin_bundestag_usa_heute,7043
60,1_euro_feuerwehr_mehr_ehrenamt,4062
71,2_spd_cdu_bundestag_demokratie,3333
104,5_pflege_impfpflicht_versorgung_gesundheit,2160
126,7_europa_eu_europäischen_migration,2131
82,3_ukraine_belarus_türkei_bundeswehr,2043
97,53_csu_cdu_wegenmorgen_cducsubt,1794
58,18_haushalt_sitzungswoche_woche_bundestag,1756
137,8_wasserstoff_klimaschutz_energien_erneuerbaren,1642
93,4_rassismus_menschen_opfer_gedenken,1591
