,topic,Count
1,0_berlin_bundestag_usa_heute,3065
54,2_spd_cdu_bundestag_demokratie,1612
97,6_jahr_wünsche_weihnachten_advent,713
51,27_bürgersprechstunde_uhr_sprechstunde_per,502
16,11_danke_ostern_moin_wochenende,461
40,17_https_https https_newsletter_quelle,238
108,7_europa_eu_europäischen_migration,222
43,1_euro_feuerwehr_mehr_ehrenamt,220
76,4_rassismus_menschen_opfer_gedenken,214
78,51_fdp_fdp fdp_afd_jetztfdp,189
