,topic,Count
1,0_berlin_bundestag_usa_heute,8832
61,1_euro_feuerwehr_mehr_ehrenamt,4892
72,2_spd_cdu_bundestag_demokratie,3711
94,4_rassismus_menschen_opfer_gedenken,2383
12,10_euro_bürgergeld_rente_prozent,2317
105,5_pflege_impfpflicht_versorgung_gesundheit,2111
138,8_wasserstoff_klimaschutz_energien_erneuerbaren,2099
83,3_ukraine_belarus_türkei_bundeswehr,2035
127,7_europa_eu_europäischen_migration,1978
59,18_haushalt_sitzungswoche_woche_bundestag,1660
