,topic,Count
0,0_berlin_bundestag_usa_heute,1211
50,2_spd_cdu_bundestag_demokratie,576
39,1_euro_feuerwehr_mehr_ehrenamt,350
35,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,255
93,6_jahr_wünsche_weihnachten_advent,217
72,4_rassismus_menschen_opfer_gedenken,188
15,11_danke_ostern_moin_wochenende,171
22,12_kinder_kindern_schulen_familien,126
47,27_bürgersprechstunde_uhr_sprechstunde_per,106
82,5_pflege_impfpflicht_versorgung_gesundheit,98
