,topic,Count
1,0_berlin_bundestag_usa_heute,894
50,1_euro_feuerwehr_mehr_ehrenamt,701
61,2_spd_cdu_bundestag_demokratie,530
83,4_rassismus_menschen_opfer_gedenken,442
11,10_euro_bürgergeld_rente_prozent,316
94,5_pflege_impfpflicht_versorgung_gesundheit,241
72,3_ukraine_belarus_türkei_bundeswehr,212
46,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,207
48,18_haushalt_sitzungswoche_woche_bundestag,199
30,12_kinder_kindern_schulen_familien,174
