,topic,Count
46,1_euro_feuerwehr_mehr_ehrenamt,2663
68,3_ukraine_belarus_türkei_bundeswehr,2000
57,2_spd_cdu_bundestag_demokratie,1568
122,8_wasserstoff_klimaschutz_energien_erneuerbaren,1371
79,4_rassismus_menschen_opfer_gedenken,1365
111,7_europa_eu_europäischen_migration,1226
9,10_euro_bürgergeld_rente_prozent,1207
90,5_pflege_impfpflicht_versorgung_gesundheit,1160
26,12_kinder_kindern_schulen_familien,792
0,0_berlin_bundestag_usa_heute,786
