,topic,Count
1,0_berlin_bundestag_usa_heute,7078
60,1_euro_feuerwehr_mehr_ehrenamt,4433
71,2_spd_cdu_bundestag_demokratie,3505
82,3_ukraine_belarus_türkei_bundeswehr,2911
126,7_europa_eu_europäischen_migration,2345
12,10_euro_bürgergeld_rente_prozent,2225
44,13_digitalisierung_digitale_ki_digitalen,2185
95,51_fdp_fdp fdp_afd_jetztfdp,2135
93,4_rassismus_menschen_opfer_gedenken,2024
137,8_wasserstoff_klimaschutz_energien_erneuerbaren,1772
