,topic,Count
70,4_rassismus_menschen_opfer_gedenken,837
38,1_euro_feuerwehr_mehr_ehrenamt,709
7,10_euro_bürgergeld_rente_prozent,525
59,3_ukraine_belarus_türkei_bundeswehr,419
49,2_spd_cdu_bundestag_demokratie,381
80,5_pflege_impfpflicht_versorgung_gesundheit,298
34,16_fachkräfte_frauen_arbeitsmarkt_beschäftigten,292
22,12_kinder_kindern_schulen_familien,272
97,7_europa_eu_europäischen_migration,193
114,9_frauen_gewalt_gewalt frauen_mädchen,184
